SG_UF_PROVA,TP_DEPENDENCIA_ADM_ESC,Linguagens,Matemática,Ciências Humanas,Ciências da Natureza,Redação,Tipo_Escola
SC,2.0,427.5,399.4,444.3,402.3,700.0,Estadual
BA,4.0,575.1,530.9,510.6,575.7,840.0,Privada
MG,2.0,604.2,585.3,541.9,423.8,580.0,Estadual
BA,2.0,531.6,385.2,498.7,499.7,520.0,Estadual
RJ,4.0,650.8,768.7,678.1,657.2,860.0,Privada
MA,2.0,428.3,464.5,372.1,392.4,360.0,Estadual
GO,2.0,349.4,404.5,365.5,422.6,600.0,Estadual
SP,4.0,525.8,730.4,563.8,583.6,880.0,Privada
PB,2.0,522.6,396.2,426.1,502.7,720.0,Estadual
MG,4.0,631.9,665.9,614.8,588.7,360.0,Privada
BA,2.0,401.7,423.7,426.0,382.1,0.0,Estadual
CE,2.0,361.9,425.1,342.4,374.2,420.0,Estadual
PA,2.0,408.8,475.5,368.4,469.1,520.0,Estadual
RJ,4.0,534.4,489.5,620.4,543.8,500.0,Privada
MA,4.0,532.2,403.7,498.9,354.3,880.0,Privada
PR,2.0,551.2,497.4,515.8,548.0,540.0,Estadual
MS,4.0,645.2,770.0,720.9,600.8,940.0,Privada
PA,2.0,450.3,497.2,441.7,480.1,880.0,Estadual
CE,2.0,445.5,450.1,309.2,367.8,580.0,Estadual
BA,2.0,537.1,492.3,527.9,443.4,500.0,Estadual
RJ,4.0,576.6,756.2,635.8,593.1,900.0,Privada
SP,2.0,557.4,663.4,554.3,536.9,640.0,Estadual
SP,4.0,625.5,621.7,667.1,529.4,740.0,Privada
PR,2.0,507.0,423.2,480.8,516.6,460.0,Estadual
PE,2.0,445.0,509.0,452.7,398.7,0.0,Estadual
SC,2.0,464.5,472.5,334.2,425.0,560.0,Estadual
MG,4.0,573.2,538.0,625.4,498.5,800.0,Privada
PR,2.0,453.4,404.3,413.1,450.7,440.0,Estadual
CE,2.0,464.1,578.1,558.4,384.7,700.0,Estadual
RJ,4.0,436.9,492.5,474.6,483.9,520.0,Privada
CE,2.0,562.6,419.3,538.8,448.4,880.0,Estadual
MG,4.0,569.2,623.2,520.8,526.1,820.0,Privada
SP,4.0,540.4,519.5,515.0,505.9,420.0,Privada
PE,2.0,496.7,509.1,458.4,447.6,560.0,Estadual
PA,2.0,530.4,504.5,495.7,427.9,860.0,Estadual
SP,4.0,573.3,413.6,585.4,451.3,860.0,Privada
RJ,2.0,560.2,502.6,592.7,476.9,660.0,Estadual
BA,2.0,438.3,410.0,409.3,386.5,360.0,Estadual
BA,2.0,613.5,601.0,590.3,514.4,900.0,Estadual
MG,4.0,566.0,592.7,561.4,546.8,800.0,Privada
SP,4.0,544.4,702.2,516.9,578.0,720.0,Privada
RJ,2.0,575.7,439.7,511.9,517.9,780.0,Estadual
RJ,4.0,593.5,747.8,519.1,570.7,920.0,Privada
SP,4.0,535.2,572.9,572.9,508.9,760.0,Privada
SP,2.0,549.3,659.1,530.4,505.5,500.0,Estadual
DF,2.0,507.6,456.8,537.2,420.6,800.0,Estadual
RN,1.0,503.5,569.6,496.5,414.9,600.0,Federal
MG,2.0,548.4,703.5,555.2,590.6,880.0,Estadual
