UF,Linguagens,Matemática,Ciências Humanas,Ciências da Natureza,Redação
SC,407.9,458.0,372.5,450.7,300.0
MS,525.4,488.2,522.7,471.1,680.0
RJ,664.5,737.8,691.6,641.5,920.0
BA,399.5,405.9,426.6,422.0,0.0
PE,490.2,430.1,451.3,450.4,500.0
PR,578.8,602.4,470.1,529.9,800.0
PA,414.3,433.1,371.1,422.1,540.0
SP,595.0,623.2,565.7,595.4,880.0
BA,585.0,636.7,543.6,537.2,940.0
SP,597.3,574.4,509.3,432.9,600.0
RN,538.8,412.2,501.5,502.9,540.0
SP,373.3,390.8,319.5,419.5,580.0
SP,550.4,683.6,577.3,521.8,620.0
GO,615.8,649.4,624.2,653.2,880.0
SP,529.7,479.3,426.4,408.4,500.0
SP,571.4,629.6,594.6,602.1,680.0
PI,366.0,463.8,307.8,470.9,440.0
BA,457.8,403.3,398.6,373.5,620.0
AP,517.2,489.2,460.6,496.5,740.0
PA,526.6,398.1,676.0,559.1,420.0
AL,448.9,566.8,442.9,442.5,780.0
PI,467.8,411.4,421.8,366.4,500.0
PR,524.5,543.2,467.6,474.5,640.0
SP,572.0,617.8,581.3,457.3,640.0
RS,536.9,563.6,522.6,415.4,520.0
AL,527.6,435.7,502.6,448.1,600.0
MA,497.4,380.4,501.1,350.9,620.0
AM,508.8,438.6,479.8,471.1,640.0
RS,533.0,462.9,572.2,461.8,600.0
PR,486.3,474.6,479.8,413.9,680.0
SP,570.0,566.4,537.3,509.7,660.0
BA,600.3,601.6,542.9,488.4,780.0
RS,548.9,610.8,526.4,520.0,620.0
MG,509.4,468.3,513.6,514.3,520.0
GO,523.5,429.6,510.1,518.2,460.0
MA,494.3,478.6,379.2,480.1,520.0
RS,394.6,506.4,332.4,392.1,540.0
PE,575.3,541.0,577.9,558.2,760.0
SC,575.7,491.0,328.4,410.0,680.0
TO,479.0,393.3,518.3,431.0,720.0
CE,469.3,378.0,448.7,460.1,680.0
SP,571.2,668.4,553.6,514.5,700.0
DF,495.4,459.0,385.1,499.5,520.0
MG,531.5,405.6,527.3,373.5,220.0
MG,512.2,514.0,544.3,514.2,860.0
RJ,464.5,426.0,495.1,448.5,0.0
BA,537.4,421.9,614.3,541.3,760.0
MA,403.1,395.9,445.6,426.4,440.0
SP,491.6,454.3,506.1,482.8,460.0
MS,432.0,470.5,389.9,527.0,560.0
PI,379.2,497.7,362.9,427.5,700.0
BA,510.0,735.8,540.0,585.2,820.0
SE,608.1,686.3,670.6,640.4,820.0
SE,577.2,540.8,581.6,514.9,840.0
RJ,485.4,441.6,536.6,420.1,260.0
TO,638.3,637.7,655.3,642.4,960.0
BA,522.9,635.1,603.3,550.0,360.0
SP,608.2,585.2,534.4,544.0,840.0
CE,623.1,736.4,657.8,645.1,880.0
SP,630.2,780.9,676.4,693.1,820.0
AC,592.7,712.2,644.2,607.2,720.0
MS,487.6,507.5,485.5,476.0,860.0
SP,559.8,628.2,591.5,551.0,640.0
AP,434.7,387.9,347.7,386.1,480.0
CE,454.3,509.4,357.0,518.8,0.0
MA,484.7,377.5,374.3,467.8,640.0
MG,557.6,546.1,590.2,371.4,860.0
RJ,491.5,407.8,409.2,429.4,580.0
MG,543.0,606.8,559.4,524.6,800.0
SP,727.7,639.6,679.8,570.5,820.0
SP,561.7,399.3,494.6,428.9,460.0
MG,440.2,463.4,373.1,355.7,480.0
PI,476.4,434.9,362.9,437.0,580.0
AP,488.1,377.3,524.7,438.7,0.0
SP,629.0,692.1,591.0,599.8,860.0
MA,505.1,508.9,458.0,576.6,640.0
PB,481.3,384.9,356.5,350.5,440.0
SP,586.6,645.0,558.6,578.1,560.0
PR,583.6,525.4,557.1,473.5,860.0
SP,515.9,631.5,481.6,492.1,680.0
GO,592.7,617.5,568.6,589.1,660.0
SC,527.2,413.4,523.7,394.5,420.0
PR,569.7,474.4,520.7,543.9,560.0
MS,564.8,514.9,611.7,452.8,600.0
PE,469.9,417.6,323.9,407.5,720.0
PA,443.7,419.2,429.5,399.9,240.0
AM,562.4,481.9,510.5,517.4,580.0
GO,406.2,417.1,474.6,404.5,0.0
RN,588.8,537.8,568.7,524.8,600.0
SP,634.5,722.2,602.1,666.2,860.0
SP,484.6,402.6,453.4,491.7,560.0
PA,471.4,409.1,423.6,362.4,700.0
RJ,613.4,506.4,607.4,492.7,680.0
MA,617.0,659.0,601.6,592.2,800.0
PI,539.9,376.1,521.0,444.6,640.0
MG,635.8,619.2,606.6,582.8,700.0
AM,482.4,377.9,378.1,399.8,400.0
MG,550.8,588.3,511.9,435.1,880.0
SP,538.8,532.4,497.0,443.8,540.0
TO,590.3,483.8,615.4,431.8,600.0
SP,553.3,474.3,595.4,545.7,480.0
AP,436.6,481.4,524.6,558.3,480.0
PE,363.5,383.5,406.2,445.2,400.0
SP,531.1,575.2,565.7,417.8,860.0
MG,549.5,546.4,610.2,585.3,800.0
AM,478.5,426.0,450.7,393.1,620.0
BA,513.6,415.7,511.7,432.8,840.0
PE,320.8,414.2,371.3,362.8,360.0
RJ,560.0,541.2,435.0,482.5,820.0
MG,551.5,383.9,478.2,359.3,600.0
SE,565.1,412.1,548.1,419.5,0.0
PA,383.3,446.4,416.8,491.5,480.0
RN,592.5,734.9,616.0,553.9,940.0
MG,597.1,606.9,622.4,544.7,860.0
MG,618.8,668.2,656.3,598.1,720.0
SP,590.4,589.8,587.5,605.8,480.0
PR,563.6,694.9,694.7,566.1,920.0
RJ,514.2,473.1,554.8,469.4,740.0
MG,523.4,650.1,566.0,559.3,620.0
SP,589.6,612.0,596.8,590.8,720.0
MG,568.5,650.3,589.0,548.9,580.0
MG,547.8,486.0,523.5,396.7,620.0
PE,322.0,441.2,338.0,496.4,440.0
PE,546.2,407.2,426.4,412.3,500.0
GO,517.9,555.7,531.4,478.9,900.0
MG,616.2,824.8,669.3,673.0,800.0
MT,494.6,479.2,507.9,548.4,800.0
RS,578.2,390.3,452.4,510.5,740.0
MA,464.7,435.7,337.2,374.6,400.0
GO,539.1,399.4,530.4,525.3,400.0
PI,480.6,471.7,457.1,492.5,420.0
PA,524.4,476.0,516.0,468.1,600.0
BA,574.4,686.0,550.8,587.6,0.0
SP,597.4,666.9,630.3,626.9,760.0
RS,391.3,381.6,439.5,456.8,500.0
ES,537.7,428.1,588.6,563.4,760.0
PR,541.3,662.4,542.7,565.2,600.0
SP,543.8,545.2,564.6,529.8,740.0
PA,631.3,435.9,596.0,449.7,600.0
PA,469.1,481.1,437.0,489.5,680.0
SP,559.9,653.0,616.7,550.7,800.0
MG,549.7,472.2,540.3,518.9,660.0
RJ,464.5,483.5,512.9,423.4,460.0
RJ,470.0,455.1,327.3,413.7,300.0
PE,485.7,467.8,455.3,410.8,480.0
BA,459.2,421.8,439.0,548.1,420.0
RS,607.2,660.7,589.7,527.1,860.0
SP,537.6,386.9,457.3,502.5,580.0
GO,480.6,443.0,421.0,419.3,600.0
SP,502.7,412.7,470.3,393.0,520.0
PE,466.3,526.6,462.9,400.2,880.0
MT,502.9,399.6,472.7,473.8,620.0
PE,533.5,427.0,447.1,440.6,620.0
MS,473.7,456.5,341.9,451.4,460.0
SP,426.2,488.6,394.3,425.4,500.0
MG,561.6,482.2,420.3,416.0,500.0
BA,583.5,524.9,572.9,496.0,800.0
CE,556.8,645.4,551.9,509.2,900.0
RO,501.2,460.6,463.5,446.3,0.0
PA,468.2,403.0,397.0,429.0,580.0
PB,591.7,383.3,602.5,507.9,860.0
SP,539.2,520.6,552.1,365.7,640.0
PE,541.8,564.1,429.0,463.4,780.0
SC,452.7,447.6,417.2,375.3,420.0
CE,546.8,642.7,428.0,525.5,920.0
RJ,599.0,541.2,637.1,560.2,880.0
SP,625.0,718.2,615.5,576.4,740.0
SP,547.4,468.5,540.9,479.5,520.0
MG,612.8,801.6,731.5,655.6,880.0
MA,476.9,388.2,459.2,395.3,580.0
RN,539.4,573.6,539.0,480.5,860.0
PR,496.3,449.9,498.7,452.1,540.0
MG,602.4,705.1,628.5,590.9,900.0
SP,468.6,585.4,400.9,381.5,520.0
MA,425.7,470.9,361.4,370.3,540.0
CE,452.4,395.5,506.6,386.6,780.0
PE,469.4,438.8,550.7,581.4,600.0
BA,573.5,496.5,565.9,570.7,540.0
CE,585.6,689.8,601.9,585.3,580.0
CE,515.4,708.0,598.7,537.5,940.0
AM,611.7,803.9,687.6,643.4,960.0
PB,491.2,445.6,404.3,380.0,520.0
CE,532.6,474.9,441.9,394.2,600.0
MG,482.5,417.7,425.8,407.8,360.0
RS,526.5,589.1,316.8,558.7,360.0
RJ,654.9,603.6,596.3,480.3,940.0
RO,476.1,535.0,505.5,470.8,600.0
CE,536.3,461.2,556.0,417.5,900.0
PR,530.6,569.4,539.3,538.1,800.0
SP,524.2,461.6,532.1,543.7,720.0
PB,536.6,518.9,523.1,489.1,660.0
RJ,569.5,476.2,639.0,591.3,580.0
CE,577.6,421.1,626.1,463.3,640.0
BA,562.7,440.5,583.4,511.7,640.0
GO,501.4,466.6,545.7,421.7,680.0
MG,590.8,590.4,518.3,580.8,860.0
MG,474.7,460.7,451.1,438.1,940.0
SP,641.7,820.9,743.3,710.1,920.0
GO,592.9,908.0,722.9,719.9,940.0
SP,563.2,405.1,455.1,444.6,580.0
PR,526.5,441.8,521.4,556.3,480.0
MG,433.5,412.6,430.2,393.4,620.0
SP,579.0,658.1,577.0,567.7,560.0
AL,472.9,475.9,463.5,439.0,0.0
PE,539.1,472.2,488.9,541.6,600.0
MG,575.5,692.1,635.6,663.0,880.0
PE,573.3,590.0,559.4,509.0,580.0
SP,565.7,458.0,496.0,402.2,500.0
SP,539.3,377.0,476.4,493.3,0.0
MS,576.0,701.4,593.4,606.3,800.0
SP,592.7,717.5,577.6,562.6,840.0
AM,523.0,387.6,515.3,525.4,0.0
MG,599.6,665.4,659.3,568.0,960.0
AM,534.9,476.0,492.2,513.2,460.0
PB,450.4,494.0,403.7,373.5,0.0
SP,447.5,384.6,459.3,456.2,660.0
PR,627.6,801.0,647.8,677.4,640.0
MA,594.1,682.8,605.1,568.3,680.0
PA,520.4,432.8,469.2,366.5,520.0
PE,466.5,549.1,435.4,387.3,720.0
GO,592.1,709.9,636.0,534.5,820.0
BA,488.7,514.1,486.4,443.0,520.0
AM,579.4,489.2,602.2,559.8,920.0
MG,626.6,719.8,622.1,582.3,860.0
SP,622.0,734.0,654.8,617.2,540.0
DF,462.2,684.1,453.1,516.4,780.0
PB,525.5,525.5,512.6,390.1,680.0
PR,543.9,442.0,391.5,502.3,360.0
SP,573.6,538.6,556.5,500.7,520.0
CE,364.2,496.6,432.0,431.9,300.0
MT,540.5,631.5,547.7,550.4,680.0
GO,499.2,435.0,435.9,392.0,500.0
MG,526.8,615.2,572.2,597.4,760.0
CE,493.5,381.0,450.7,388.7,580.0
PI,339.9,479.3,372.3,436.0,560.0
SP,593.4,470.4,608.7,569.1,560.0
AM,534.5,411.6,476.6,430.6,600.0
RS,454.4,387.4,428.8,572.7,360.0
SP,480.3,456.2,445.1,449.8,620.0
AL,425.0,463.1,387.5,399.8,400.0
RS,500.9,387.2,474.9,412.5,660.0
RJ,475.8,502.4,476.9,501.3,520.0
MA,533.1,510.5,528.4,475.4,560.0
SP,541.7,459.6,588.7,443.8,600.0
BA,520.7,409.1,549.0,388.3,700.0
BA,461.4,429.5,510.1,429.1,400.0
MG,602.8,611.2,558.6,461.8,720.0
RJ,465.6,488.7,444.2,374.1,580.0
AL,535.0,573.8,624.2,597.5,600.0
PE,574.2,673.0,617.2,568.6,920.0
SC,582.0,398.2,514.9,564.9,820.0
PA,606.7,629.6,640.2,605.7,960.0
PI,541.8,604.2,540.7,502.4,660.0
PB,538.2,417.5,562.1,536.5,660.0
MG,561.1,421.3,590.7,574.0,760.0
BA,537.3,471.9,479.0,454.9,620.0
PR,498.6,485.6,424.9,488.8,480.0
PR,363.1,389.1,447.1,384.6,360.0
DF,676.4,746.9,753.6,598.7,920.0
MA,519.5,394.6,414.9,429.0,500.0
SE,425.5,486.4,409.4,422.1,380.0
BA,545.1,417.3,574.3,463.2,600.0
RS,454.1,452.5,490.0,373.8,400.0
PB,509.9,462.7,415.2,481.7,800.0
PA,531.0,386.3,450.4,370.9,640.0
PR,496.1,451.7,428.9,485.0,520.0
